Date,AQI,PM2_5,PM10,SO2,NO2,CO,O3,sin_day,cos_day,sin_month,cos_month
2014-01-01,92,50,115,107,54,2.37,13,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
2014-01-02,87,50,106,115,50,2.34,8,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
2014-01-03,85,51,114,94,45,2.26,14,0.5877852522924731,0.8090169943749475,0.49999999999999994,0.8660254037844387
2014-01-04,80,49,106,97,51,2.4,12,0.7431448254773941,0.6691306063588582,0.49999999999999994,0.8660254037844387
2014-01-05,82,51,107,103,54,2.37,10,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2014-01-06,119,84,142,95,59,2.5,9,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387
2014-01-07,86,52,93,40,37,1.72,21,0.9945218953682733,0.10452846326765346,0.49999999999999994,0.8660254037844387
2014-01-08,60,28,71,43,33,1.37,31,0.9945218953682734,-0.10452846326765333,0.49999999999999994,0.8660254037844387
2014-01-09,71,43,89,87,47,1.86,10,0.9510565162951536,-0.30901699437494734,0.49999999999999994,0.8660254037844387
2014-01-10,90,59,116,86,52,2.26,10,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2014-01-11,74,49,94,77,44,2.09,16,0.7431448254773945,-0.6691306063588579,0.49999999999999994,0.8660254037844387
2014-01-12,76,45,99,77,47,2.15,16,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387
2014-01-13,81,52,98,93,50,2.31,9,0.40673664307580004,-0.913545457642601,0.49999999999999994,0.8660254037844387
2014-01-14,84,57,110,94,55,2.57,13,0.20791169081775931,-0.9781476007338057,0.49999999999999994,0.8660254037844387
2014-01-15,104,73,122,116,55,2.62,12,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387
2014-01-16,118,86,148,111,53,2.88,13,-0.20791169081775907,-0.9781476007338057,0.49999999999999994,0.8660254037844387
2014-01-17,79,54,103,89,45,2.6,14,-0.4067366430758002,-0.9135454576426009,0.49999999999999994,0.8660254037844387
2014-01-18,89,56,113,121,55,2.74,11,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387
2014-01-19,104,51,157,88,47,2.7,20,-0.743144825477394,-0.6691306063588585,0.49999999999999994,0.8660254037844387
2014-01-20,69,35,85,63,40,2.22,21,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
2014-01-21,76,48,90,90,46,2.6,13,-0.9510565162951535,-0.30901699437494756,0.49999999999999994,0.8660254037844387
2014-01-22,97,68,123,94,57,3.07,14,-0.9945218953682733,-0.10452846326765423,0.49999999999999994,0.8660254037844387
2014-01-24,115,70,164,114,50,3.11,16,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387
2014-01-25,82,52,104,112,47,2.82,16,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2014-01-26,110,78,133,98,47,2.75,24,-0.743144825477394,0.6691306063588585,0.49999999999999994,0.8660254037844387
2014-01-27,138,98,152,79,50,2.92,19,-0.5877852522924734,0.8090169943749473,0.49999999999999994,0.8660254037844387
2014-01-28,80,48,99,74,45,2.45,19,-0.40673664307580015,0.913545457642601,0.49999999999999994,0.8660254037844387
2014-01-29,160,121,187,98,61,3.3,23,-0.20791169081775898,0.9781476007338057,0.49999999999999994,0.8660254037844387
2014-01-30,151,107,196,92,54,2.88,20,-1.133107779529596e-15,1.0,0.49999999999999994,0.8660254037844387
2014-01-31,260,205,273,117,56,3.23,23,0.2079116908177585,0.9781476007338058,0.49999999999999994,0.8660254037844387
2014-02-01,93,64,117,78,46,2.67,21,0.20791169081775931,0.9781476007338057,0.8660254037844386,0.5000000000000001
2014-02-02,73,38,94,55,35,2.26,21,0.40673664307580015,0.9135454576426009,0.8660254037844386,0.5000000000000001
2014-02-03,80,26,109,28,22,1.77,38,0.5877852522924731,0.8090169943749475,0.8660254037844386,0.5000000000000001
2014-02-04,99,34,146,51,30,2.04,18,0.7431448254773941,0.6691306063588582,0.8660254037844386,0.5000000000000001
2014-02-05,83,58,104,48,23,2.25,32,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001
2014-02-06,113,85,102,63,32,2.6,23,0.9510565162951535,0.30901699437494745,0.8660254037844386,0.5000000000000001
2014-02-07,97,72,95,56,29,2.6,36,0.9945218953682733,0.10452846326765346,0.8660254037844386,0.5000000000000001
2014-02-08,82,58,83,44,29,2.47,32,0.9945218953682734,-0.10452846326765333,0.8660254037844386,0.5000000000000001
2014-02-09,29,19,26,27,19,1.89,42,0.9510565162951536,-0.30901699437494734,0.8660254037844386,0.5000000000000001
2014-02-10,56,37,57,62,38,2.32,27,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
2014-02-11,79,57,85,53,45,2.57,30,0.7431448254773945,-0.6691306063588579,0.8660254037844386,0.5000000000000001
2014-02-12,88,65,93,59,44,2.62,35,0.5877852522924732,-0.8090169943749473,0.8660254037844386,0.5000000000000001
2014-02-13,138,104,135,76,35,2.75,54,0.40673664307580004,-0.913545457642601,0.8660254037844386,0.5000000000000001
