Date,Quality_grade,AQI,AQI_rank,PM2_5,PM10,SO2,NO2,CO,O3
2014-01-01,良,92,41,50,115,107,54,2.37,13
2014-01-02,良,87,32,50,106,115,50,2.34,8
2014-01-03,良,85,37,51,114,94,45,2.26,14
2014-01-04,良,80,34,49,106,97,51,2.40,12
2014-01-05,良,82,15,51,107,103,54,2.37,10
2014-01-06,轻度污染,119,54,84,142,95,59,2.50,9
2014-01-07,良,86,52,52,93,40,37,1.72,21
2014-01-08,良,60,64,28,71,43,33,1.37,31
2014-01-09,良,71,80,43,89,87,47,1.86,10
2014-01-10,良,90,63,59,116,86,52,2.26,10
2014-01-11,良,74,36,49,94,77,44,2.09,16
2014-01-12,良,76,58,45,99,77,47,2.15,16
2014-01-13,良,81,66,52,98,93,50,2.31,9
2014-01-14,良,84,55,57,110,94,55,2.57,13
2014-01-15,轻度污染,104,59,73,122,116,55,2.62,12
2014-01-16,轻度污染,118,60,86,148,111,53,2.88,13
2014-01-17,良,79,16,54,103,89,45,2.60,14
2014-01-18,良,89,25,56,113,121,55,2.74,11
2014-01-19,轻度污染,104,28,51,157,88,47,2.70,20
2014-01-20,良,69,25,35,85,63,40,2.22,21
2014-01-21,良,76,58,48,90,90,46,2.60,13
2014-01-22,良,97,87,68,123,94,57,3.07,14
2014-01-24,轻度污染,115,82,70,164,114,50,3.11,16
2014-01-25,良,82,54,52,104,112,47,2.82,16
2014-01-26,轻度污染,110,124,78,133,98,47,2.75,24
2014-01-27,轻度污染,138,140,98,152,79,50,2.92,19
2014-01-28,良,80,82,48,99,74,45,2.45,19
2014-01-29,中度污染,160,147,121,187,98,61,3.30,23
2014-01-30,中度污染,151,88,107,196,92,54,2.88,20
2014-01-31,严重污染,260,132,205,273,117,56,3.23,23
2014-02-01,良,93,70,64,117,78,46,2.67,21
2014-02-02,良,73,35,38,94,55,35,2.26,21
2014-02-03,良,80,104,26,109,28,22,1.77,38
2014-02-04,良,99,162,34,146,51,30,2.04,18
2014-02-05,良,83,158,58,104,48,23,2.25,32
2014-02-06,轻度污染,113,165,85,102,63,32,2.60,23
2014-02-07,良,97,146,72,95,56,29,2.60,36
2014-02-08,良,82,122,58,83,44,29,2.47,32
2014-02-09,优,29,28,19,26,27,19,1.89,42
2014-02-10,良,56,102,37,57,62,38,2.32,27
2014-02-11,良,79,90,57,85,53,45,2.57,30
2014-02-12,良,88,79,65,93,59,44,2.62,35
2014-02-13,轻度污染,138,145,104,135,76,35,2.75,54
2014-02-14,中度污染,166,147,126,172,70,50,3.25,34
2014-02-15,中度污染,176,131,134,176,69,57,3.44,21
2014-02-16,中度污染,167,148,126,163,61,51,3.41,26
2014-02-17,中度污染,171,167,129,151,49,34,3.13,38
2014-02-18,轻度污染,145,183,108,125,57,36,3.19,42
2014-02-19,良,84,91,54,99,38,38,2.83,31
2014-02-20,良,86,80,58,113,44,44,2.98,21
2014-02-21,重度污染,203,164,154,222,76,66,4.13,28
2014-02-22,中度污染,189,155,142,204,62,51,3.74,22
2014-02-23,中度污染,199,144,152,214,69,54,3.89,16
2014-02-24,重度污染,204,145,156,214,59,53,3.79,18
2014-02-25,中度污染,161,116,121,167,49,41,2.99,36
2014-02-26,轻度污染,118,103,67,142,32,32,2.10,40
2014-02-27,良,83,80,34,116,32,36,1.98,25
2014-02-28,轻度污染,114,174,78,160,36,41,2.62,18
2014-03-01,良,69,101,35,88,45,35,2.28,28
2014-03-02,良,81,82,47,111,38,42,2.39,23
2014-03-03,轻度污染,114,132,81,155,55,52,2.92,15
2014-03-04,良,78,105,42,102,43,40,2.61,22
2014-03-05,良,76,99,41,99,51,42,2.44,23
2014-03-06,良,72,114,40,90,46,39,2.45,26
2014-03-07,中度污染,178,185,134,175,48,45,2.74,21
2014-03-08,良,73,98,44,93,57,40,2.35,38
2014-03-09,良,83,91,52,110,46,46,2.30,28
2014-03-10,良,87,79,59,119,43,47,2.31,38
2014-03-11,轻度污染,112,108,79,149,52,55,2.42,24
2014-03-12,良,61,44,16,72,19,20,1.48,49
2014-03-13,良,61,48,25,72,35,39,1.90,24
2014-03-14,良,72,34,34,92,48,43,2.19,24
2014-03-15,良,89,57,44,126,49,49,2.39,27
2014-03-16,良,92,61,46,133,41,51,2.29,33
2014-03-17,严重污染,255,180,98,429,37,48,2.26,23
2014-03-18,轻度污染,139,100,77,227,40,40,2.19,36
2014-03-19,轻度污染,136,155,53,221,24,34,2.01,35
2014-03-20,良,72,72,23,96,29,33,2.01,37
2014-03-21,良,68,75,25,88,28,38,2.23,31
2014-03-22,良,83,93,40,116,35,46,2.33,38
2014-03-23,良,87,76,49,123,33,48,2.33,42
2014-03-25,良,99,83,61,144,37,54,2.65,41
2014-03-26,良,87,49,50,123,30,51,2.41,41
2014-03-27,中度污染,154,142,79,218,26,48,2.57,28
2014-03-28,中度污染,193,180,93,287,21,33,2.46,25
2014-03-29,良,77,83,36,103,22,38,2.25,31
2014-03-30,良,81,64,42,107,19,43,2.58,19
2014-03-31,良,53,30,31,58,15,31,2.42,49
2014-04-01,良,74,66,42,96,16,36,2.60,50
2014-04-02,良,75,73,36,99,13,43,2.46,42
2014-04-03,良,60,43,30,71,12,38,2.39,41
2014-04-04,良,77,78,34,102,15,43,2.58,33
2014-04-05,良,84,98,34,113,16,44,2.59,37
2014-04-06,轻度污染,110,171,64,168,21,49,2.81,46
2014-04-07,良,94,122,52,135,16,46,2.81,51
2014-04-08,轻度污染,112,104,54,167,17,49,2.75,51
2014-04-09,良,99,79,55,144,15,49,2.69,53
2014-04-10,良,77,57,48,88,14,36,2.63,56
2014-04-11,良,86,97,62,92,12,45,3.29,18
2014-04-12,良,51,25,31,49,8,36,2.82,36
2014-04-13,优,49,30,26,50,8,25,2.44,48
2014-04-14,良,85,81,59,100,13,28,2.60,84
2014-04-15,良,66,42,44,56,9,24,2.41,46
2014-04-16,优,33,1,17,31,8,22,2.04,34
2014-04-17,良,51,26,22,58,7,27,1.43,31
2014-04-18,良,68,75,38,81,8,33,1.61,16
2014-04-19,良,57,76,24,68,7,26,1.53,36
2014-04-20,良,78,114,37,105,9,37,1.60,15
2014-04-21,良,56,50,27,64,8,27,1.32,45
2014-04-22,良,67,69,31,83,9,34,1.64,52
2014-04-23,良,87,93,47,124,10,38,1.67,36
2014-04-24,轻度污染,143,176,84,200,10,32,1.77,45
2014-04-25,轻度污染,138,170,61,214,7,20,1.43,52
2014-04-26,严重污染,258,187,83,361,11,31,1.72,21
2014-04-27,轻度污染,149,180,59,237,13,33,1.80,32
2014-04-28,良,91,152,38,130,11,37,1.79,38
2014-04-29,良,89,114,39,126,14,41,1.90,36
2014-04-30,轻度污染,115,150,48,180,12,46,1.92,30
2014-05-01,中度污染,161,174,61,263,10,35,1.74,26
2014-05-02,良,65,48,26,82,9,31,1.68,35
2014-05-03,良,96,141,33,140,9,33,1.62,33
2014-05-04,良,82,138,26,113,10,31,1.37,37
2014-05-05,良,63,80,24,76,10,33,1.18,43
2014-05-06,良,74,87,30,98,13,34,1.29,50
2014-05-07,良,91,123,39,132,11,39,1.42,38
2014-05-08,轻度污染,102,117,43,153,12,36,1.36,62
2014-05-09,良,87,118,60,108,12,30,1.45,53
2014-05-10,优,31,9,17,27,8,20,1.36,39
2014-05-11,良,73,170,26,96,9,27,1.53,35
2014-05-12,良,71,86,31,92,9,30,1.45,38
2014-05-13,良,89,115,44,127,14,39,1.67,31
2014-05-14,良,86,105,28,120,12,31,1.27,59
2014-05-15,良,88,127,38,126,9,43,1.36,55
2014-05-16,良,96,109,46,142,11,55,1.64,50
2014-05-17,良,94,108,48,135,13,58,1.76,58
2014-05-18,良,97,129,49,130,14,55,1.62,74
2014-05-19,轻度污染,104,133,57,155,9,31,1.35,84
2014-05-20,轻度污染,113,131,57,173,12,46,1.49,64
2014-05-21,轻度污染,103,100,49,150,13,52,1.55,64
2014-05-22,轻度污染,111,113,74,147,15,50,1.60,77
2014-05-23,轻度污染,125,173,92,141,11,55,1.69,66
2014-05-24,轻度污染,146,180,54,184,7,28,1.35,72
2014-05-25,重度污染,220,180,90,320,9,38,1.30,59
2014-05-26,良,76,66,30,97,9,45,1.42,49
2014-05-27,轻度污染,119,113,46,187,10,47,1.45,41
2014-05-28,轻度污染,104,113,46,156,9,47,1.38,54
2014-05-29,轻度污染,112,100,51,172,10,62,1.59,59
2014-05-30,轻度污染,104,87,49,154,13,59,1.75,67
2014-05-31,轻度污染,108,118,68,150,17,51,1.84,85
2014-06-01,轻度污染,103,157,66,144,10,51,1.95,79
2014-06-02,轻度污染,114,179,77,156,10,52,2.17,73
2014-06-03,轻度污染,116,184,85,154,12,43,2.14,90
2014-06-04,良,79,112,48,84,6,27,1.78,76
2014-06-05,良,86,109,49,99,6,37,1.85,62
2014-06-06,良,73,93,33,94,6,38,1.77,61
2014-06-07,良,71,103,28,86,8,40,1.75,58
2014-06-08,良,84,101,29,116,9,41,1.80,70
2014-06-09,良,83,132,29,112,10,47,1.83,52
2014-06-10,良,85,134,28,107,11,52,1.91,65
2014-06-11,良,88,134,32,112,11,52,1.91,72
2014-06-12,轻度污染,116,158,63,151,12,47,2.07,101
2014-06-13,良,74,68,51,88,6,47,2.14,56
2014-06-14,良,68,39,46,77,6,38,2.15,67
2014-06-15,良,96,92,66,121,7,45,2.39,75
2014-06-16,良,97,107,57,134,7,49,2.30,59
2014-06-17,良,82,121,28,111,8,40,2.17,69
2014-06-18,良,87,127,31,114,8,38,2.17,74
2014-06-19,良,59,78,26,55,5,27,2.28,77
2014-06-20,良,61,118,25,64,7,29,2.28,61
2014-06-21,良,69,128,19,80,9,41,2.36,66
2014-06-22,良,77,136,30,91,7,44,2.49,64
2014-06-23,良,82,133,43,106,9,44,2.82,64
2014-06-24,轻度污染,106,152,71,146,7,51,2.83,55
2014-06-25,良,73,126,44,89,6,37,2.50,67
2014-06-26,良,87,142,38,110,7,44,2.34,58
2014-06-27,良,86,161,33,120,7,54,2.37,33
2014-06-28,良,53,52,29,59,6,41,2.38,28
2014-06-29,优,47,40,19,46,6,34,2.56,50
2014-06-30,良,67,70,30,81,6,36,2.36,59
2014-07-01,优,47,37,15,43,5,33,2.29,65
2014-07-02,良,66,91,22,82,6,38,2.15,57
2014-07-03,良,77,114,32,102,11,38,1.59,27
2014-07-04,良,74,106,27,85,8,33,1.08,60
2014-07-05,良,84,143,50,104,8,33,1.15,69
2014-07-06,良,92,156,58,122,8,36,1.29,69
2014-07-07,良,95,152,55,131,8,37,1.26,72
2014-07-08,良,61,66,31,69,5,35,1.13,35
2014-07-09,优,34,10,8,10,5,26,1.00,66
2014-07-10,优,43,35,12,34,7,25,1.10,71
2014-07-11,良,64,77,21,68,8,29,1.19,63
2014-07-12,良,71,113,28,84,9,34,1.06,75
2014-07-13,良,65,108,21,77,8,31,0.97,59
2014-07-14,良,66,85,15,70,8,40,1.00,60
2014-07-15,良,85,144,19,95,9,40,1.19,95
2014-07-16,良,97,162,31,130,10,44,1.26,57
2014-07-17,轻度污染,102,169,33,128,9,41,1.29,78
2014-07-18,良,94,153,41,119,12,44,1.32,79
2014-07-19,良,95,157,51,129,9,40,1.35,56
2014-07-20,良,58,84,19,66,6,25,1.22,35
2014-07-21,良,62,101,22,75,5,27,1.11,37
2014-07-22,良,55,73,21,60,7,27,0.96,56
2014-07-23,良,51,69,13,46,7,32,0.79,81
2014-07-24,良,61,107,15,60,8,32,0.64,76
2014-07-25,良,75,140,21,80,7,37,0.63,66
2014-07-26,良,89,108,36,113,10,46,0.84,56
2014-07-27,良,91,109,43,112,8,43,0.88,77
2014-07-28,良,97,120,53,124,7,41,1.01,78
2014-07-29,良,91,118,57,120,7,36,1.04,81
2014-07-30,良,88,166,38,98,6,42,0.85,90
2014-07-31,良,93,155,53,127,8,45,1.02,55
2014-08-01,良,98,160,56,131,9,37,1.06,74
2014-08-02,轻度污染,108,168,70,151,8,41,1.20,73
2014-08-03,轻度污染,117,174,80,161,7,40,1.21,77
2014-08-04,良,82,121,46,113,6,35,0.93,52
2014-08-05,良,66,112,30,81,6,31,0.81,40
2014-08-06,优,34,25,11,18,4,19,0.78,67
2014-08-07,优,33,14,11,25,5,21,0.85,51
2014-08-09,优,47,63,13,39,5,23,1.28,68
2014-08-10,良,53,66,16,60,6,26,1.27,35
2014-08-11,良,55,67,16,59,7,27,1.05,46
2014-08-12,良,54,78,19,60,7,37,1.02,32
2014-08-13,良,54,87,19,56,7,26,0.94,59
2014-08-14,良,64,132,19,68,8,33,1.02,54
2014-08-15,良,67,88,19,74,9,36,1.08,48
2014-08-16,良,56,53,25,62,6,37,1.11,35
2014-08-17,良,52,68,18,45,6,28,1.10,69
2014-08-18,良,60,100,22,64,7,37,1.25,47
