date,AQI,PM2_5,PM10,SO2,NO2,CO,O3,sin_day,cos_day,sin_month,cos_month
2014/1/1,92,50,115,107,54,2.37,13,0.207911691,0.978147601,0.5,0.866025404
2014/1/2,87,50,106,115,50,2.34,8,0.406736643,0.913545458,0.5,0.866025404
2014/1/3,85,51,114,94,45,2.26,14,0.587785252,0.809016994,0.5,0.866025404
2014/1/4,80,49,106,97,51,2.4,12,0.743144825,0.669130606,0.5,0.866025404
2014/1/5,82,51,107,103,54,2.37,10,0.866025404,0.5,0.5,0.866025404
2014/1/6,119,84,142,95,59,2.5,9,0.951056516,0.309016994,0.5,0.866025404
2014/1/7,86,52,93,40,37,1.72,21,0.994521895,0.104528463,0.5,0.866025404
2014/1/8,60,28,71,43,33,1.37,31,0.994521895,-0.104528463,0.5,0.866025404
2014/1/9,71,43,89,87,47,1.86,10,0.951056516,-0.309016994,0.5,0.866025404
2014/1/10,90,59,116,86,52,2.26,10,0.866025404,-0.5,0.5,0.866025404
2014/1/11,74,49,94,77,44,2.09,16,0.743144825,-0.669130606,0.5,0.866025404
2014/1/12,76,45,99,77,47,2.15,16,0.587785252,-0.809016994,0.5,0.866025404
2014/1/13,81,52,98,93,50,2.31,9,0.406736643,-0.913545458,0.5,0.866025404
2014/1/14,84,57,110,94,55,2.57,13,0.207911691,-0.978147601,0.5,0.866025404
2014/1/15,104,73,122,116,55,2.62,12,5.67E-16,-1,0.5,0.866025404
2014/1/16,118,86,148,111,53,2.88,13,-0.207911691,-0.978147601,0.5,0.866025404
2014/1/17,79,54,103,89,45,2.6,14,-0.406736643,-0.913545458,0.5,0.866025404
2014/1/18,89,56,113,121,55,2.74,11,-0.587785252,-0.809016994,0.5,0.866025404
2014/1/19,104,51,157,88,47,2.7,20,-0.743144825,-0.669130606,0.5,0.866025404
2014/1/20,69,35,85,63,40,2.22,21,-0.866025404,-0.5,0.5,0.866025404
2014/1/21,76,48,90,90,46,2.6,13,-0.951056516,-0.309016994,0.5,0.866025404
2014/1/22,97,68,123,94,57,3.07,14,-0.994521895,-0.104528463,0.5,0.866025404
2014/1/24,115,70,164,114,50,3.11,16,-0.951056516,0.309016994,0.5,0.866025404
2014/1/25,82,52,104,112,47,2.82,16,-0.866025404,0.5,0.5,0.866025404
2014/1/26,110,78,133,98,47,2.75,24,-0.743144825,0.669130606,0.5,0.866025404
2014/1/27,138,98,152,79,50,2.92,19,-0.587785252,0.809016994,0.5,0.866025404
2014/1/28,80,48,99,74,45,2.45,19,-0.406736643,0.913545458,0.5,0.866025404
2014/1/29,160,121,187,98,61,3.3,23,-0.207911691,0.978147601,0.5,0.866025404
2014/1/30,151,107,196,92,54,2.88,20,-1.13E-15,1,0.5,0.866025404
2014/1/31,260,205,273,117,56,3.23,23,0.207911691,0.978147601,0.5,0.866025404
2014/2/1,93,64,117,78,46,2.67,21,0.207911691,0.978147601,0.866025404,0.5
2014/2/2,73,38,94,55,35,2.26,21,0.406736643,0.913545458,0.866025404,0.5
2014/2/3,80,26,109,28,22,1.77,38,0.587785252,0.809016994,0.866025404,0.5
2014/2/4,99,34,146,51,30,2.04,18,0.743144825,0.669130606,0.866025404,0.5
2014/2/5,83,58,104,48,23,2.25,32,0.866025404,0.5,0.866025404,0.5
2014/2/6,113,85,102,63,32,2.6,23,0.951056516,0.309016994,0.866025404,0.5
2014/2/7,97,72,95,56,29,2.6,36,0.994521895,0.104528463,0.866025404,0.5
2014/2/8,82,58,83,44,29,2.47,32,0.994521895,-0.104528463,0.866025404,0.5
2014/2/9,29,19,26,27,19,1.89,42,0.951056516,-0.309016994,0.866025404,0.5
2014/2/10,56,37,57,62,38,2.32,27,0.866025404,-0.5,0.866025404,0.5
2014/2/11,79,57,85,53,45,2.57,30,0.743144825,-0.669130606,0.866025404,0.5
2014/2/12,88,65,93,59,44,2.62,35,0.587785252,-0.809016994,0.866025404,0.5
2014/2/13,138,104,135,76,35,2.75,54,0.406736643,-0.913545458,0.866025404,0.5
2014/2/14,166,126,172,70,50,3.25,34,0.207911691,-0.978147601,0.866025404,0.5
2014/2/15,176,134,176,69,57,3.44,21,5.67E-16,-1,0.866025404,0.5
2014/2/16,167,126,163,61,51,3.41,26,-0.207911691,-0.978147601,0.866025404,0.5
2014/2/17,171,129,151,49,34,3.13,38,-0.406736643,-0.913545458,0.866025404,0.5
2014/2/18,145,108,125,57,36,3.19,42,-0.587785252,-0.809016994,0.866025404,0.5
2014/2/19,84,54,99,38,38,2.83,31,-0.743144825,-0.669130606,0.866025404,0.5
2014/2/20,86,58,113,44,44,2.98,21,-0.866025404,-0.5,0.866025404,0.5
2014/2/21,203,154,222,76,66,4.13,28,-0.951056516,-0.309016994,0.866025404,0.5
2014/2/22,189,142,204,62,51,3.74,22,-0.994521895,-0.104528463,0.866025404,0.5
2014/2/23,199,152,214,69,54,3.89,16,-0.994521895,0.104528463,0.866025404,0.5
2014/2/24,204,156,214,59,53,3.79,18,-0.951056516,0.309016994,0.866025404,0.5
2014/2/25,161,121,167,49,41,2.99,36,-0.866025404,0.5,0.866025404,0.5
2014/2/26,118,67,142,32,32,2.1,40,-0.743144825,0.669130606,0.866025404,0.5
2014/2/27,83,34,116,32,36,1.98,25,-0.587785252,0.809016994,0.866025404,0.5
2014/2/28,114,78,160,36,41,2.62,18,-0.406736643,0.913545458,0.866025404,0.5
2014/3/1,69,35,88,45,35,2.28,28,0.207911691,0.978147601,1,6.12E-17
2014/3/2,81,47,111,38,42,2.39,23,0.406736643,0.913545458,1,6.12E-17
2014/3/3,114,81,155,55,52,2.92,15,0.587785252,0.809016994,1,6.12E-17
2014/3/4,78,42,102,43,40,2.61,22,0.743144825,0.669130606,1,6.12E-17
2014/3/5,76,41,99,51,42,2.44,23,0.866025404,0.5,1,6.12E-17
2014/3/6,72,40,90,46,39,2.45,26,0.951056516,0.309016994,1,6.12E-17
2014/3/7,178,134,175,48,45,2.74,21,0.994521895,0.104528463,1,6.12E-17
2014/3/8,73,44,93,57,40,2.35,38,0.994521895,-0.104528463,1,6.12E-17
2014/3/9,83,52,110,46,46,2.3,28,0.951056516,-0.309016994,1,6.12E-17
2014/3/10,87,59,119,43,47,2.31,38,0.866025404,-0.5,1,6.12E-17
2014/3/11,112,79,149,52,55,2.42,24,0.743144825,-0.669130606,1,6.12E-17
2014/3/12,61,16,72,19,20,1.48,49,0.587785252,-0.809016994,1,6.12E-17
2014/3/13,61,25,72,35,39,1.9,24,0.406736643,-0.913545458,1,6.12E-17
2014/3/14,72,34,92,48,43,2.19,24,0.207911691,-0.978147601,1,6.12E-17
2014/3/15,89,44,126,49,49,2.39,27,5.67E-16,-1,1,6.12E-17
2014/3/16,92,46,133,41,51,2.29,33,-0.207911691,-0.978147601,1,6.12E-17
2014/3/17,255,98,429,37,48,2.26,23,-0.406736643,-0.913545458,1,6.12E-17
2014/3/18,139,77,227,40,40,2.19,36,-0.587785252,-0.809016994,1,6.12E-17
2014/3/19,136,53,221,24,34,2.01,35,-0.743144825,-0.669130606,1,6.12E-17
2014/3/20,72,23,96,29,33,2.01,37,-0.866025404,-0.5,1,6.12E-17
2014/3/21,68,25,88,28,38,2.23,31,-0.951056516,-0.309016994,1,6.12E-17
2014/3/22,83,40,116,35,46,2.33,38,-0.994521895,-0.104528463,1,6.12E-17
2014/3/23,87,49,123,33,48,2.33,42,-0.994521895,0.104528463,1,6.12E-17
2014/3/25,99,61,144,37,54,2.65,41,-0.866025404,0.5,1,6.12E-17
2014/3/26,87,50,123,30,51,2.41,41,-0.743144825,0.669130606,1,6.12E-17
2014/3/27,154,79,218,26,48,2.57,28,-0.587785252,0.809016994,1,6.12E-17
2014/3/28,193,93,287,21,33,2.46,25,-0.406736643,0.913545458,1,6.12E-17
2014/3/29,77,36,103,22,38,2.25,31,-0.207911691,0.978147601,1,6.12E-17
2014/3/30,81,42,107,19,43,2.58,19,-1.13E-15,1,1,6.12E-17
2014/3/31,53,31,58,15,31,2.42,49,0.207911691,0.978147601,1,6.12E-17
2014/4/1,74,42,96,16,36,2.6,50,0.207911691,0.978147601,0.866025404,-0.5
2014/4/2,75,36,99,13,43,2.46,42,0.406736643,0.913545458,0.866025404,-0.5
2014/4/3,60,30,71,12,38,2.39,41,0.587785252,0.809016994,0.866025404,-0.5
2014/4/4,77,34,102,15,43,2.58,33,0.743144825,0.669130606,0.866025404,-0.5
2014/4/5,84,34,113,16,44,2.59,37,0.866025404,0.5,0.866025404,-0.5
2014/4/6,110,64,168,21,49,2.81,46,0.951056516,0.309016994,0.866025404,-0.5
2014/4/7,94,52,135,16,46,2.81,51,0.994521895,0.104528463,0.866025404,-0.5
2014/4/8,112,54,167,17,49,2.75,51,0.994521895,-0.104528463,0.866025404,-0.5
2014/4/9,99,55,144,15,49,2.69,53,0.951056516,-0.309016994,0.866025404,-0.5
2014/4/10,77,48,88,14,36,2.63,56,0.866025404,-0.5,0.866025404,-0.5
2014/4/11,86,62,92,12,45,3.29,18,0.743144825,-0.669130606,0.866025404,-0.5
2014/4/12,51,31,49,8,36,2.82,36,0.587785252,-0.809016994,0.866025404,-0.5
2014/4/13,49,26,50,8,25,2.44,48,0.406736643,-0.913545458,0.866025404,-0.5
2014/4/14,85,59,100,13,28,2.6,84,0.207911691,-0.978147601,0.866025404,-0.5
2014/4/15,66,44,56,9,24,2.41,46,5.67E-16,-1,0.866025404,-0.5
2014/4/16,33,17,31,8,22,2.04,34,-0.207911691,-0.978147601,0.866025404,-0.5
2014/4/17,51,22,58,7,27,1.43,31,-0.406736643,-0.913545458,0.866025404,-0.5
2014/4/18,68,38,81,8,33,1.61,16,-0.587785252,-0.809016994,0.866025404,-0.5
2014/4/19,57,24,68,7,26,1.53,36,-0.743144825,-0.669130606,0.866025404,-0.5
2014/4/20,78,37,105,9,37,1.6,15,-0.866025404,-0.5,0.866025404,-0.5
2014/4/21,56,27,64,8,27,1.32,45,-0.951056516,-0.309016994,0.866025404,-0.5
2014/4/22,67,31,83,9,34,1.64,52,-0.994521895,-0.104528463,0.866025404,-0.5
2014/4/23,87,47,124,10,38,1.67,36,-0.994521895,0.104528463,0.866025404,-0.5
2014/4/24,143,84,200,10,32,1.77,45,-0.951056516,0.309016994,0.866025404,-0.5
2014/4/25,138,61,214,7,20,1.43,52,-0.866025404,0.5,0.866025404,-0.5
2014/4/26,258,83,361,11,31,1.72,21,-0.743144825,0.669130606,0.866025404,-0.5
2014/4/27,149,59,237,13,33,1.8,32,-0.587785252,0.809016994,0.866025404,-0.5
2014/4/28,91,38,130,11,37,1.79,38,-0.406736643,0.913545458,0.866025404,-0.5
2014/4/29,89,39,126,14,41,1.9,36,-0.207911691,0.978147601,0.866025404,-0.5
2014/4/30,115,48,180,12,46,1.92,30,-1.13E-15,1,0.866025404,-0.5
2014/5/1,161,61,263,10,35,1.74,26,0.207911691,0.978147601,0.5,-0.866025404
2014/5/2,65,26,82,9,31,1.68,35,0.406736643,0.913545458,0.5,-0.866025404
2014/5/3,96,33,140,9,33,1.62,33,0.587785252,0.809016994,0.5,-0.866025404
2014/5/4,82,26,113,10,31,1.37,37,0.743144825,0.669130606,0.5,-0.866025404
2014/5/5,63,24,76,10,33,1.18,43,0.866025404,0.5,0.5,-0.866025404
2014/5/6,74,30,98,13,34,1.29,50,0.951056516,0.309016994,0.5,-0.866025404
2014/5/7,91,39,132,11,39,1.42,38,0.994521895,0.104528463,0.5,-0.866025404
2014/5/8,102,43,153,12,36,1.36,62,0.994521895,-0.104528463,0.5,-0.866025404
2014/5/9,87,60,108,12,30,1.45,53,0.951056516,-0.309016994,0.5,-0.866025404
2014/5/10,31,17,27,8,20,1.36,39,0.866025404,-0.5,0.5,-0.866025404
2014/5/11,73,26,96,9,27,1.53,35,0.743144825,-0.669130606,0.5,-0.866025404
2014/5/12,71,31,92,9,30,1.45,38,0.587785252,-0.809016994,0.5,-0.866025404
2014/5/13,89,44,127,14,39,1.67,31,0.406736643,-0.913545458,0.5,-0.866025404
2014/5/14,86,28,120,12,31,1.27,59,0.207911691,-0.978147601,0.5,-0.866025404
2014/5/15,88,38,126,9,43,1.36,55,5.67E-16,-1,0.5,-0.866025404
2014/5/16,96,46,142,11,55,1.64,50,-0.207911691,-0.978147601,0.5,-0.866025404
2014/5/17,94,48,135,13,58,1.76,58,-0.406736643,-0.913545458,0.5,-0.866025404
2014/5/18,97,49,130,14,55,1.62,74,-0.587785252,-0.809016994,0.5,-0.866025404
2014/5/19,104,57,155,9,31,1.35,84,-0.743144825,-0.669130606,0.5,-0.866025404
2014/5/20,113,57,173,12,46,1.49,64,-0.866025404,-0.5,0.5,-0.866025404
2014/5/21,103,49,150,13,52,1.55,64,-0.951056516,-0.309016994,0.5,-0.866025404
2014/5/22,111,74,147,15,50,1.6,77,-0.994521895,-0.104528463,0.5,-0.866025404
2014/5/23,125,92,141,11,55,1.69,66,-0.994521895,0.104528463,0.5,-0.866025404
2014/5/24,146,54,184,7,28,1.35,72,-0.951056516,0.309016994,0.5,-0.866025404
2014/5/25,220,90,320,9,38,1.3,59,-0.866025404,0.5,0.5,-0.866025404
2014/5/26,76,30,97,9,45,1.42,49,-0.743144825,0.669130606,0.5,-0.866025404
2014/5/27,119,46,187,10,47,1.45,41,-0.587785252,0.809016994,0.5,-0.866025404
2014/5/28,104,46,156,9,47,1.38,54,-0.406736643,0.913545458,0.5,-0.866025404
2014/5/29,112,51,172,10,62,1.59,59,-0.207911691,0.978147601,0.5,-0.866025404
2014/5/30,104,49,154,13,59,1.75,67,-1.13E-15,1,0.5,-0.866025404
2014/5/31,108,68,150,17,51,1.84,85,0.207911691,0.978147601,0.5,-0.866025404
2014/6/1,103,66,144,10,51,1.95,79,0.207911691,0.978147601,1.22E-16,-1
2014/6/2,114,77,156,10,52,2.17,73,0.406736643,0.913545458,1.22E-16,-1
2014/6/3,116,85,154,12,43,2.14,90,0.587785252,0.809016994,1.22E-16,-1
2014/6/4,79,48,84,6,27,1.78,76,0.743144825,0.669130606,1.22E-16,-1
2014/6/5,86,49,99,6,37,1.85,62,0.866025404,0.5,1.22E-16,-1
2014/6/6,73,33,94,6,38,1.77,61,0.951056516,0.309016994,1.22E-16,-1
2014/6/7,71,28,86,8,40,1.75,58,0.994521895,0.104528463,1.22E-16,-1
2014/6/8,84,29,116,9,41,1.8,70,0.994521895,-0.104528463,1.22E-16,-1
2014/6/9,83,29,112,10,47,1.83,52,0.951056516,-0.309016994,1.22E-16,-1
2014/6/10,85,28,107,11,52,1.91,65,0.866025404,-0.5,1.22E-16,-1
2014/6/11,88,32,112,11,52,1.91,72,0.743144825,-0.669130606,1.22E-16,-1
2014/6/12,116,63,151,12,47,2.07,101,0.587785252,-0.809016994,1.22E-16,-1
2014/6/13,74,51,88,6,47,2.14,56,0.406736643,-0.913545458,1.22E-16,-1
2014/6/14,68,46,77,6,38,2.15,67,0.207911691,-0.978147601,1.22E-16,-1
2014/6/15,96,66,121,7,45,2.39,75,5.67E-16,-1,1.22E-16,-1
2014/6/16,97,57,134,7,49,2.3,59,-0.207911691,-0.978147601,1.22E-16,-1
2014/6/17,82,28,111,8,40,2.17,69,-0.406736643,-0.913545458,1.22E-16,-1
2014/6/18,87,31,114,8,38,2.17,74,-0.587785252,-0.809016994,1.22E-16,-1
2014/6/19,59,26,55,5,27,2.28,77,-0.743144825,-0.669130606,1.22E-16,-1
2014/6/20,61,25,64,7,29,2.28,61,-0.866025404,-0.5,1.22E-16,-1
2014/6/21,69,19,80,9,41,2.36,66,-0.951056516,-0.309016994,1.22E-16,-1
2014/6/22,77,30,91,7,44,2.49,64,-0.994521895,-0.104528463,1.22E-16,-1
2014/6/23,82,43,106,9,44,2.82,64,-0.994521895,0.104528463,1.22E-16,-1
2014/6/24,106,71,146,7,51,2.83,55,-0.951056516,0.309016994,1.22E-16,-1
2014/6/25,73,44,89,6,37,2.5,67,-0.866025404,0.5,1.22E-16,-1
2014/6/26,87,38,110,7,44,2.34,58,-0.743144825,0.669130606,1.22E-16,-1
2014/6/27,86,33,120,7,54,2.37,33,-0.587785252,0.809016994,1.22E-16,-1
2014/6/28,53,29,59,6,41,2.38,28,-0.406736643,0.913545458,1.22E-16,-1
2014/6/29,47,19,46,6,34,2.56,50,-0.207911691,0.978147601,1.22E-16,-1
2014/6/30,67,30,81,6,36,2.36,59,-1.13E-15,1,1.22E-16,-1
2014/7/1,47,15,43,5,33,2.29,65,0.207911691,0.978147601,-0.5,-0.866025404
2014/7/2,66,22,82,6,38,2.15,57,0.406736643,0.913545458,-0.5,-0.866025404
2014/7/3,77,32,102,11,38,1.59,27,0.587785252,0.809016994,-0.5,-0.866025404
2014/7/4,74,27,85,8,33,1.08,60,0.743144825,0.669130606,-0.5,-0.866025404
2014/7/5,84,50,104,8,33,1.15,69,0.866025404,0.5,-0.5,-0.866025404
2014/7/6,92,58,122,8,36,1.29,69,0.951056516,0.309016994,-0.5,-0.866025404
2014/7/7,95,55,131,8,37,1.26,72,0.994521895,0.104528463,-0.5,-0.866025404
2014/7/8,61,31,69,5,35,1.13,35,0.994521895,-0.104528463,-0.5,-0.866025404
2014/7/9,34,8,10,5,26,1,66,0.951056516,-0.309016994,-0.5,-0.866025404
2014/7/10,43,12,34,7,25,1.1,71,0.866025404,-0.5,-0.5,-0.866025404
